trial,pq,sq,rq,f1,precision,recall,iou_mean,elapsed_s,dia_small_um,dia_large_um,flow_threshold,cellprob_threshold,fragment_threshold,clahe_clip_limit,dilation_px,model_type,min_circularity,hed_min_h_ratio
34,0.371618,0.490172,0.756381,0.756381,0.912408,0.647743,0.490172,282.0,8.171606464644906,40.16650773876081,0.4818609223663447,0.46729444570919243,71,2.5213633050628994,15,nuclei,0.0,0.0
35,0.403314,0.567707,0.709604,0.709604,0.898028,0.59019,0.567707,371.6,7.410165585362195,36.59576591130086,0.4983578632097665,-0.15735403710666476,53,2.011730170362072,6,nuclei,0.0,0.0
36,0.342465,0.47726,0.71647,0.71647,0.910386,0.591962,0.47726,283.1,8.671686593255084,39.115207409843194,0.4342012166941903,0.08420722228619865,120,2.2386309211150874,2,nuclei,0.0,0.0
37,0.399224,0.539215,0.738976,0.738976,0.883856,0.638118,0.539215,377.6,6.862293790692682,35.90824165357963,0.5119968288180802,0.3299999610396471,65,2.7158910207478315,10,nuclei,0.0,0.0
38,0.402299,0.564816,0.711511,0.711511,0.895783,0.594674,0.564816,280.5,9.46787840215027,37.85884014580635,0.47425522851981283,-0.08318148110230118,81,2.3823998714511263,7,nuclei,0.0,0.0
39,0.411669,0.555181,0.740097,0.740097,0.936408,0.612388,0.555181,360.3,7.839083077174688,39.641069016562525,0.5060133678810305,0.49656348750921364,91,1.7891552330739264,4,nuclei,0.0,0.0
40,0.266225,0.432275,0.616132,0.616132,0.878835,0.481009,0.432275,290.2,8.120056988129905,42.64498076557554,0.5212468251519091,-0.9533816791701804,130,2.607192206675782,13,nuclei,0.0,0.0
41,0.418875,0.579097,0.722404,0.722404,0.913041,0.598808,0.579097,372.1,7.6707686657353324,35.558924616793384,0.4550788936788988,0.1788867471720293,109,2.328668398281292,7,nuclei,0.0,0.0
42,0.417209,0.581352,0.717182,0.717182,0.903003,0.596865,0.581352,389.2,7.790660244095047,34.057156928285124,0.4703519191743893,0.20083153181713662,120,2.476459152205767,6,nuclei,0.0,0.0
43,0.406477,0.567325,0.715724,0.715724,0.911501,0.590406,0.567325,372.7,7.397833993454496,35.595139610465665,0.45330094062433623,0.0633618417284526,102,2.085255735993841,8,nuclei,0.0,0.0
44,0.413393,0.561167,0.735169,0.735169,0.908378,0.618532,0.561167,375.7,7.25268713923782,44.77684205498109,0.49127739616458665,0.3277589953048756,93,2.3486583728741373,4,nuclei,0.0,0.0
45,0.413024,0.573339,0.719369,0.719369,0.902543,0.60066,0.573339,372.3,7.606349758228757,36.67560686526237,0.4350483024280853,-0.04482581241066663,74,2.2258588454525063,5,nuclei,0.0,0.0
46,0.337495,0.465848,0.723592,0.723592,0.918953,0.597841,0.465848,283.6,8.454134252162117,37.435837657579086,0.4598235348731429,0.22205480028967128,109,2.1188262609188087,2,nuclei,0.0,0.0
47,0.205085,0.354372,0.581914,0.581914,0.897609,0.436943,0.354372,289.3,8.75878115735518,38.007074031826924,0.47570435474893713,-1.2393730849081148,86,2.2801437345710918,21,nuclei,0.0,0.0
48,0.42343,0.577063,0.732827,0.732827,0.909707,0.614495,0.577063,377.4,7.06593381553618,35.972144927039466,0.49460237147322467,0.4013378009530452,98,2.373519510663264,8,nuclei,0.0,0.0
49,0.404808,0.549329,0.735327,0.735327,0.90043,0.622657,0.549329,377.0,6.989766467434061,36.14108799623396,0.5012270257414424,0.4360560494403036,98,2.604121968616297,10,nuclei,0.0,0.0
