method,roi,a1_capture,a1_umi_density,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw
sr,roi13,0.9710415444509626,15.388241657403691,1191.0,954.0,0.007115135834411384,0.6945337057113647,0.0129366106080207,763,773
sr,roi14,0.9389170445452121,11.141189205161764,835.0,694.0,0.007409793814432989,0.7364332675933838,0.00902061855670103,768,776
sr,roi15,0.806692752438241,11.348121922375512,1339.5,821.0,0.014204545454545456,0.6214190721511841,0.0022727272727272726,436,440
p3,roi1,0.780014994109457,8.090405196507197,350.0,272.0,0.0026661197703035273,0.759319007396698,0.01066447908121411,1206,1219
p3,roi2,0.7783584875473308,10.052608172706087,407.0,301.0,0.0014101531023368251,0.7254690527915955,0.014504431909750202,1223,1241
p3,roi3,0.71160409556314,7.127173139805015,313.0,188.0,0.001939655172413793,0.6717331409454346,0.05517241379310345,1096,1160
p3,roi4,0.7712775542074599,15.200600211520385,723.0,611.0,0.007451181911613566,0.7549563050270081,0.0010277492291880781,972,973
p3,roi5,0.7439577442245104,14.12718554087712,715.0,582.0,0.002769385699899295,0.736407995223999,0.004028197381671702,966,993
p3,roi6,0.8299189073836961,12.468836296316077,500.0,438.0,0.0012745812090313182,0.8057659268379211,0.0014566642388929353,1371,1373
p3,roi7,0.7708460981451568,16.924950008087094,524.5,455.0,0.0017673521850899744,0.7885197997093201,0.009640102827763496,1534,1556
p3,roi8,0.73141576391483,7.475872676354386,430.0,364.0,0.003919372900335946,0.787204921245575,0.011198208286674132,840,893
p3,roi9,0.7552130553037172,12.528839216694518,489.0,435.5,0.002239413680781759,0.8156519532203674,0.003257328990228013,1222,1228
p3,roi10,0.6762163892445583,6.730884314036107,319.0,207.0,0.0037634408602150535,0.7020995616912842,0.02258064516129032,909,930
p3,roi11,0.7224533333333333,9.98152701561357,449.0,311.5,0.003795066413662239,0.7068888545036316,0.018026565464895637,1035,1054
p3,roi12,0.5862804715421134,13.078390253006202,503.5,445.0,0.0016198704103671706,0.8020167946815491,0.00755939524838013,919,926
p3,roi13,0.7699322702789184,14.523992274228174,911.0,759.0,0.002944640753828033,0.7436191439628601,0.004711425206124852,844,849
p3,roi14,0.723873032808749,11.22341290776016,579.0,499.0,0.00461361014994233,0.7801381945610046,0.010380622837370242,857,867
p3,roi15,0.48688897973485956,11.627306218765293,381.0,280.0,0.0022598870056497176,0.7292981743812561,0.01807909604519774,853,885
nuc,roi1,0.20852522223412231,6.859135955175576,113.0,92.0,0.0,0.8403502702713013,0.12799043062200957,729,836
nuc,roi2,0.2388139299237374,9.473353563393069,166.0,130.0,0.0003048780487804878,0.813565194606781,0.1024390243902439,736,820
nuc,roi3,0.2158703071672355,7.050201777335679,138.0,85.0,0.0010176390773405698,0.764029324054718,0.22116689280868385,574,737
nuc,roi4,0.2753919154303562,13.776995593847063,334.0,299.0,0.0011574074074074073,0.8286336064338684,0.024691358024691357,632,648
nuc,roi5,0.2763164914901563,12.223042625897657,381.0,334.0,0.0,0.8057480454444885,0.019769357495881382,588,607
nuc,roi6,0.3866837387964149,11.098299452394967,306.0,281.0,0.000254323499491353,0.8666825890541077,0.006103763987792472,977,983
nuc,roi7,0.23516960953601068,15.299498568552668,271.0,250.0,0.0011890606420927466,0.8597918152809143,0.04518430439952437,797,841
nuc,roi8,0.23805966166817866,6.6962887367117805,198.5,182.5,0.0004464285714285714,0.8535085916519165,0.05714285714285714,516,560
nuc,roi9,0.2949176043944323,12.274897629750187,328.0,297.5,0.0003246753246753247,0.8630663752555847,0.015584415584415584,757,770
nuc,roi10,0.23260776781903542,6.594430455055345,133.0,91.0,0.0004,0.7803176641464233,0.1808,512,625
nuc,roi11,0.18485333333333334,8.606669719524618,168.5,118.0,0.0008532423208191126,0.781590461730957,0.13139931740614336,509,586
nuc,roi12,0.25198698458420016,11.821534605328036,314.0,284.5,0.0007692307692307692,0.8554379343986511,0.010769230769230769,643,650
nuc,roi13,0.297264145912218,13.313299687983166,540.0,479.0,0.0009596928982725527,0.7887696623802185,0.046065259117082535,497,521
nuc,roi14,0.2650306748466258,9.745200688214156,316.0,284.0,0.001763668430335097,0.8375139236450195,0.06349206349206349,530,567
nuc,roi15,0.0849734275535829,10.643060287050204,145.0,114.0,0.0,0.8127000331878662,0.1437308868501529,279,327
