method,roi,a1_capture,a1_umi_density,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw,d1_silhouette,e1_immune_survival,a1_norm,a1d_norm,a2_norm,a3_norm,c1_norm,ned_norm,d1_norm,e1_norm,capture_score,purity_score,core_tas,tas
sr,roi9,0.9444829609087516,12.680700314002491,773.0,651.0,0.0074074074074074,0.7533683180809021,0.0021164021164021,942,945,0.0850502476096153,,0.9444829609087516,0.7069893495761425,0.9627264979727751,1.0,0.9925925925925926,0.7533683180809021,0.5425251238048077,,0.844176299281265,0.8647472532601902,0.8543998689552955,0.7452437081526249
sr,roi10,0.8971404182671788,6.638512294631354,377.0,237.5,0.0089485458612975,0.6841809153556824,0.0089485458612975,886,894,0.0850502476096153,1.0,0.8971404182671788,0.3701181617037404,0.8587804500685977,0.7916666666666666,0.9910514541387025,0.6841809153556824,0.5425251238048077,1.0,0.5976708600356863,0.823443070926702,0.7015325569003826,0.6458799553169314
sr,roi11,0.94992,9.947112533166653,669.5,418.5,0.0090749414519906,0.6614598631858826,0.0117096018735363,844,854,0.0850502476096153,1.0,0.94992,0.5545831417700677,0.9419168604493425,1.0,0.9909250585480094,0.6614598631858826,0.5425251238048077,1.0,0.7627707859973695,0.8096030840199591,0.7858381390234241,0.7006785836969084
sr,roi12,0.7826318877687096,13.493700530443483,696.5,590.0,0.005,0.7547123432159424,0.00625,795,800,0.0850502476096153,,0.7826318877687096,0.752316695857813,0.9476403735866608,1.0,0.995,0.7547123432159424,0.5425251238048077,,0.8630684413255717,0.8665672400338376,0.8648160712890381,0.7520142396695575
sr,roi13,0.9710415444509626,15.388241657403691,1191.0,954.0,0.0071151358344113,0.6945337057113647,0.0129366106080207,763,773,0.0850502476096153,,0.9710415444509626,0.8579433857036264,1.0,1.0,0.9928848641655887,0.6945337057113647,0.5425251238048077,,0.9289716928518132,0.8304167652773223,0.878312967120605,0.760787221960076
sr,roi14,0.938917044545212,11.141189205161764,835.0,694.0,0.0074097938144329,0.7364332675933838,0.009020618556701,768,776,0.0850502476096153,1.0,0.938917044545212,0.6211567117444068,0.9738954918278674,1.0,0.9925902061855671,0.7364332675933838,0.5425251238048077,1.0,0.8040522288291703,0.8549716070855381,0.8291211167632775,0.7288125192278131
sr,roi15,0.806692752438241,11.348121922375512,1339.5,821.0,0.0142045454545454,0.6214190721511841,0.0022727272727272,436,440,0.0850502476096153,,0.806692752438241,0.6326938684886146,1.0,1.0,0.9857954545454546,0.6214190721511841,0.5425251238048077,,0.8163469342443073,0.782682628333152,0.799337578327233,0.7094532192443841
p3,roi1,0.780014994109457,8.090405196507197,350.0,272.0,0.0026661197703035,0.759319007396698,0.0106644790812141,1206,1219,0.1344490498304367,1.0,0.780014994109457,0.4510658059925934,0.8480226814500919,0.9066666666666666,0.9973338802296965,0.759319007396698,0.5672245249152184,1.0,0.6642052400254863,0.8702267359597212,0.7602691352637709,0.6927035216417775
p3,roi2,0.7783584875473308,10.052608172706089,407.0,301.0,0.0014101531023368,0.7254690527915955,0.0145044319097502,1223,1241,0.1344490498304367,1.0,0.7783584875473308,0.5604648590044657,0.8698648030750733,1.0,0.9985898468976632,0.7254690527915955,0.5672245249152184,1.0,0.7476986302710011,0.8511439539561754,0.7977463058745408,0.717063682538778
p3,roi3,0.71160409556314,7.127173139805015,313.0,188.0,0.0019396551724137,0.6717331409454346,0.0551724137931034,1096,1160,0.1344490498304367,0.75,0.71160409556314,0.39736255708710616,0.8318481125154829,0.6266666666666667,0.9980603448275863,0.6717331409454346,0.5672245249152184,0.75,0.5633099733390905,0.8187980277724892,0.6791443846448418,0.6399724337394737
